table_name,table_description,refresh_frequency,vertical,partition_column,remarks,relationship_context
hive.cdo.fact_upi_transactions_snapshot_v3,"data_description: This is a comprehensive UPI transactions snapshot table containing detailed transaction-level data for Unified Payments Interface transactions processed through the Paytm ecosystem. The table captures essential transaction attributes including unique transaction IDs (txn_id), customer information for both payer and payee sides (customer_id_payer, customer_id_payee, scope_cust_id), transaction amounts, timestamps (transaction_date_key), transaction statuses (SUCCESS, DEEMED, FAILED, etc.), UPI handles (payer_handle including paytm, ptyes, ptaxis, pthdfc, ptsbi), bank names, purpose codes, error codes (both app and NPCI response codes), flow categories, and transaction categories. It includes derived categorizations such as P2P vs P2M classifications (is_p2p, is_p2m), payer/payee PSP categorizations, transaction types (PAY, COLLECT), and final flow categories (P2P, SnP, Online, Onus, Others, VPA2MERCHANT, VPA2VPA, VPA2ACCOUNT). The table structure supports both transaction-level analysis and aggregated reporting with transaction_date_key for temporal partitioning and dl_last_updated for data lineage tracking, enabling sophisticated business logic for transaction categorization and comprehensive analytical capabilities across the UPI payments ecosystem.

business_description: This table serves as the primary data source for comprehensive UPI business analytics across the payments ecosystem, supporting multiple critical use cases and stakeholder needs across product analytics, business intelligence, operations, and strategy teams. It enables calculation of key performance indicators including Success Rate (SR) for payment processor performance monitoring, MAU/DAU calculations, transaction volume analysis, user engagement metrics across different geographic regions and transaction flows, customer lifecycle tracking, and retention analysis with month-over-month comparisons. The table supports various business applications including transaction monitoring, success rate analysis, failure pattern identification, PSP performance comparison, flow category distribution analysis, customer transaction behavior insights, user segmentation across different cohorts and geographic markets, customer demographics and geographic analysis including state-wise transaction distribution analysis, and P2P vs P2M transaction trend tracking. Business stakeholders use this data for operational dashboards, regulatory reporting, merchant analytics, strategic decision-making around UPI product performance and market positioning, identifying growth opportunities across different transaction categories and geographic markets, customer segmentation strategies, and comprehensive payment ecosystem analysis. The table is particularly focused on Paytm ecosystem analysis given the handle filtering patterns while supporting cross-platform payment analysis and competitive benchmarking against other PSPs, enabling understanding of user behavior patterns and performance measurement across different UPI handles and banking partnerships.",Daily,UPI,transaction_date_key,"This is version 3 of the UPI transactions snapshot table, indicating iterative improvements and evolution over previous versions with multiple iterations for optimization and schema enhancement. The table contains rich categorical data for UPI transaction analysis with specific focus on PSP-level analysis, particularly Paytm's performance against competitors. The dl_last_updated field suggests incremental data loading processes, delta loading capabilities for efficient data updates, and systematic data lineage tracking as part of a managed data pipeline with data quality controls. The table includes sophisticated business logic for categorizing transactions and identifying PSP relationships, with complex analytical capabilities supporting retention analysis, MAU calculations, month-over-month comparisons, user lifecycle tracking, and advanced UPI business intelligence use cases. The presence of multiple UPI handles (paytm, ptyes, ptaxis, pthdfc, ptsbi) indicates multi-handle UPI ecosystem support across various banking partnerships and consolidated view across different payment service providers. The table supports complex analytical queries for both operational monitoring and strategic business intelligence, with well-defined business rules for transaction classification, user segmentation, time-series analysis, and comprehensive UPI performance tracking. It appears to be a production table used for critical business analytics with sophisticated filtering capabilities for successful transactions and specific Paytm handles, optimized for business reporting rather than raw transaction storage. Dashboard 511 notes heavy focus on operational monitoring, success rate calculations, and PSP identification capabilities, emphasizing the table's role in payment processor performance monitoring and business performance tracking.","This table serves as a central fact table in the UPI analytics ecosystem, supporting comprehensive star schema designs for UPI business intelligence with extensive join patterns across the data ecosystem. It commonly joins with dimension tables including customer dimension tables (via customer_id_payer/customer_id_payee/scope_cust_id), date dimension tables (via transaction_date_key/day_id), bank/PSP master tables (via handle mappings and bank name fields), merchant dimension tables (for P2M analysis and VPA2MERCHANT transactions), transaction category lookup tables, and UPI handle/bank dimension tables. The table frequently integrates with user lifecycle tables (like paytm_upi_mau_final_nrr_1) for retention analysis and cohort studies, customer engagement tables (like hive.midgar.engage_data_snapshot_v3) for geographic and demographic analysis including popular_city and popular_state mapping, gaming merchant analysis tables (like user_paytm_payments.gaming_merchant_5816_analysis) for user behavior segmentation and specific use case studies, error code reference tables for failure analysis, and user profile tables for comprehensive customer analytics. It supports complex analytical relationships for MAU/DAU calculations, customer segmentation, retention metrics, geographic distribution analysis, cross-platform payment analysis, and serves as the foundational source for aggregated summary tables used in executive reporting. The table feeds downstream analytical processes and reporting systems, enables comprehensive payment ecosystem analysis through joins with other UPI-related tables, supports near real-time monitoring when used with real-time transaction tables, and is commonly used in conjunction with monthly aggregation queries, customer segmentation tables, time dimension tables for temporal analysis, and regulatory reporting tables. It serves as a central hub for UPI transaction analysis supporting operational dashboards and strategic business intelligence initiatives across multiple business dimensions including user profiles, merchant analytics, PSP performance, customer lifecycle management, and regulatory compliance reporting. Dashboard 511 specifically highlights its use for time-series analysis capabilities, PSP performance comparison, and integration with other payment-related fact tables for comprehensive payment ecosystem analysis."
hive.tpap_pms.account_snapshot_v3,"data_description: The account_snapshot_v3 table is a comprehensive repository of account-level data containing user account information with fields like user_id, created_on timestamps, detail_2 (account identifiers/handles), account_type classifications, and status indicators. The table maintains historical snapshots of account states with dl_last_updated tracking for data lineage. It includes account lifecycle information and supports filtering by status (ACTIVE, DORMANT) and creation dates for temporal analysis.

business_description: This table serves as a critical data source for UPI business analytics, particularly for Monthly Active User (MAU) analysis and handle-wise distribution reporting. It supports lifecycle management by tracking account states and enables segmentation analysis for different account types. The table is primarily used in payment analytics dashboards to understand user engagement patterns, account distribution across different handles, and to measure business performance metrics like MAU. It plays a key role in UPI product management and strategic decision-making by providing insights into account utilization and user behavior patterns.",Daily,UPI,dl_last_updated,"Table appears to be version 3 of account snapshots, suggesting it's an evolved schema. The dl_last_updated field indicates delta lake or similar technology for data versioning. Query patterns show heavy usage for MAU calculations and lifecycle analysis. This appears to be version 3 of the account snapshot table, suggesting ongoing schema evolution. The table is actively used in complex analytical queries involving joins with user tables and transaction data for MAU calculations. The presence of dl_last_updated suggests this is a slowly changing dimension table with data lineage tracking.","This table has a strong relationship with hive.tpap_pms.user_snapshot_v3 through user_id joins, as evidenced in the SQL queries. It's commonly used alongside transaction tables (like user_paytm_payments.upi_flow_wise_base_cm) for activity analysis. The table serves as a bridge between user identity data and transaction behavior, enabling comprehensive account-level analytics. It's frequently joined with user tables on user_id and customer_id fields for customer segmentation and lifecycle analysis. This table has strong relationships with user_snapshot_v3 table through user_id joins, and is commonly used alongside transaction tables like upi_flow_wise_base_cm for usage analysis. It serves as a dimension table in UPI analytics, providing account context for transaction and usage pattern analysis. The table is frequently joined with user tables to create customer-account mappings and with transaction tables to calculate activity metrics like MAU and use case distributions."
hive.user_paytm_payments.upi_flow_wise_base,"data_description: The upi_flow_wise_base table contains UPI (Unified Payments Interface) transaction data organized by flow categories and use cases. The table structure includes day_id for temporal partitioning, payer_cust_id for customer identification, and final_category for transaction classification. The table serves as a base dataset for analyzing UPI transaction patterns, user behavior, and flow categorization across different payment use cases. It appears to exclude 'Others' categories and focuses on meaningful transaction classifications.

business_description: This table supports UPI business analytics by enabling Monthly Active User (MAU) calculations across different payment use cases and customer lifecycle stages. It's used for tracking UPI adoption patterns, measuring user engagement across various payment flows, and analyzing customer behavior trends. The table enables business teams to understand payment preferences, monitor use case performance, and make data-driven decisions for UPI product optimization. It's particularly valuable for measuring month-over-month and last-month-to-date comparisons of active users across different UPI transaction categories.",Daily,UPI,day_id,"The table appears to be a core UPI analytics table with complex categorization logic. The SQL context shows incomplete queries but indicates sophisticated user lifecycle analysis and cross-category use case tracking for MAU calculations. The table appears to be a core UPI analytics table with complex business logic for customer segmentation. The SQL context shows sophisticated MAU calculations with lifecycle analysis and use case categorization. The table structure supports both current month (MTD) and last month (LMTD) comparisons for business reporting. The table appears to have a partitioned variant (upi_flow_wise_base_partitioned) and a current month variant (upi_flow_wise_base_cm), suggesting different storage strategies for historical vs current data. The exclusion of 'Others' categories in queries indicates focus on meaningful business categories.","This table has strong relationships with user management and account tables, specifically joining with hive.tpap_pms.account_snapshot_v3 and hive.tpap_pms.user_snapshot_v3 for customer and account information. It appears to be used in conjunction with other UPI-related tables for comprehensive payment flow analysis. The table is commonly filtered by payer_cust_id and day_id for temporal analysis, and joined with customer lifecycle and account status data for segmentation purposes. It serves as a base table for higher-level UPI analytics and dashboard reporting. This table is closely related to account snapshot tables (hive.tpap_pms.account_snapshot_v3) and user snapshot tables (hive.tpap_pms.user_snapshot_v3) through customer_id joins. It also references a related table user_paytm_payments.upi_flow_wise_base_cm for monthly aggregations. The table serves as a base for MAU calculations and is commonly joined with user and account master data for comprehensive UPI analytics and reporting dashboards. This table has strong relationships with customer lifecycle tables (hive.cdo.fact_upi_customer_lifecycle_snapshot_v3) through customer_id joins. It's commonly used alongside lifecycle data to segment users by their engagement stages. The table serves as a foundation for MAU calculations and is likely joined with customer profile tables, transaction metadata tables, and business category mapping tables. It supports time-based analysis through date range filtering and is used in conjunction with month-to-date and period comparison queries."
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,"data_description: The fact_upi_customer_lifecycle_snapshot_v3 table is a comprehensive snapshot table that captures UPI customer lifecycle data and transactional behavior patterns. It contains customer-level aggregated metrics including transaction volumes, user retention indicators, TPU (Transactions Per User) calculations, and lifecycle stage classifications. The table structure supports temporal analysis with date partitioning and includes customer segmentation data across various UPI transaction categories and payment handles. It serves as a foundational dataset for customer behavior analytics, retention analysis, and lifecycle management in the UPI ecosystem.

business_description: This table is primarily used for UPI customer analytics and business intelligence, supporting monthly active user (MAU) distribution analysis, customer retention tracking, and lifecycle management. It enables business teams to monitor user engagement patterns, calculate retention rates across different TPU buckets, and perform cohort analysis for UPI customers. The table supports strategic decision-making around customer acquisition, retention strategies, and product optimization by providing insights into customer transaction behaviors, payment preferences, and usage patterns across different UPI handles and merchant categories.",Daily,UPI,dl_last_updated,"This is a versioned table (v3) indicating ongoing schema evolution and optimization. The table appears to be a core analytical asset for UPI business operations, with complex retention and lifecycle calculations built on top of it. The SQL context shows sophisticated analytical queries involving month-over-month comparisons and TPU-based customer segmentation. This appears to be version 3 of the customer lifecycle snapshot table, indicating ongoing refinements to the data model. The SQL query shows complex logic for handling different lifecycle states including dormant users, and integrates multiple data sources for comprehensive customer analysis. The table is designed specifically for snapshot-based analysis rather than transactional data, making it optimized for reporting and analytics use cases. The lifecycle field suggests sophisticated customer segmentation capabilities. The table is optimized for retention analysis and customer segmentation with complex logic for MTD (Month-to-Date) calculations and TPU bucket analysis, indicating this is a sophisticated analytical table designed for advanced customer analytics with pre-calculated metrics to support dashboard performance. The table is highly aggregated and optimized for analytical queries, particularly for MAU calculations and lifecycle analysis, and supports complex time-based queries for month-to-date and month-over-month comparisons.","This table has strong relationships with core UPI operational tables including account snapshots (hive.tpap_pms.account_snapshot_v3), user snapshots (hive.tpap_pms.user_snapshot_v3), and UPI transaction flow tables (user_paytm_payments.upi_flow_wise_base_cm). It serves as a derived analytical table that joins customer data with account information and transaction patterns. The table is commonly used in conjunction with user management tables for customer lifecycle analysis and is likely a key source for executive dashboards and business intelligence reporting focused on UPI user engagement metrics. It is commonly joined with UPI transaction tables like user_paytm_payments.upi_flow_wise_base_partitioned and user_paytm_payments.upi_flow_wise_base_cm to correlate customer lifecycle stages with actual transaction behavior. The customer_id field serves as the primary join key, enabling analysis of how customers in different lifecycle stages engage with various UPI use cases. It has a close relationship with hive.cdo.fact_upi_transactions_snapshot_v3, where customer lifecycle data is joined with transaction data for retention calculations. It serves as a higher-level aggregation table that summarizes transaction-level data into customer lifecycle metrics, commonly used for retention analysis, customer segmentation dashboards, and MAU reporting. The table supports analytical queries that require temporal joins across different time periods (current month vs previous month) and is often aggregated with transaction data to derive customer behavior insights and lifecycle transitions, where customer_id_payer serves as the linking key."
all_accounts,"data_description: The all_accounts table is a derived dataset containing UPI account information extracted from account snapshots. It includes core account identifiers (user_id, account_type), account creation timestamps (created_on), account details (detail_2), and focuses on active account status filtering. The table structure supports account-level analysis by providing necessary fields to create unique account keys and track account lifecycle states. The data is filtered to include only active accounts with valid last updated timestamps and accounts created before the current analysis date.

business_description: This table serves as a foundational component for UPI Monthly Active User (MAU) analysis and user lifecycle management. It supports business operations by enabling measurement of user engagement across different UPI handles and profiles, facilitating MAU distribution analysis, and supporting user lifecycle categorization (active vs dormant users). The table is primarily used in analytical contexts to understand UPI user behavior patterns, measure platform adoption, and track user retention metrics across different account types and user segments. It is used consistently across multiple dashboards for UPI analytics and reporting, demonstrating its critical role in the organization's UPI data ecosystem.",Daily,UPI,,"This is a CTE (Common Table Expression) rather than a physical table, as indicated by the SQL context. The actual source table is hive.tpap_pms.account_snapshot_v3. The table_columns field is empty, suggesting metadata extraction limitations for CTEs and that this might be a dynamically generated or derived dataset. The filtering logic indicates focus on active accounts with proper audit trails (dl_last_updated IS NOT NULL). The query context shows complex joins with user data and transaction data to calculate MAU metrics and lifecycle states. This table is used consistently across multiple dashboards (merged and dashboard 476) with identical implementation, confirming its standardized role in UPI analytics.","The all_accounts CTE joins with users CTE (derived from user_snapshot_v3) on user_id to create comprehensive user-account relationships. It's commonly used in conjunction with transaction data (upi_flow_wise_base_cm) to analyze user activity patterns. The CTE creates account_key combinations using customer_id, detail_2, and account_type for unique identification across the UPI ecosystem, enabling analysis of user behavior across multiple accounts and payment use cases. The all_accounts table has strong relationships with hive.tpap_pms.account_snapshot_v3 (source table), hive.tpap_pms.user_snapshot_v3 (joined on user_id to id), and user_paytm_payments.upi_flow_wise_base_cm (for transaction-based use case analysis). It's commonly joined with user tables to create composite account keys and is used in conjunction with transaction tables to calculate MAU and user lifecycle metrics. The table serves as an intermediate layer between raw account snapshots and business intelligence reporting for UPI user analytics across multiple dashboards."
users,"data_description: This table represents a derived dataset of UPI users with their account profiles and activity metrics. It contains user lifecycle information, account counts per customer, and Monthly-to-Date (MTD) use case activity. The data structure includes customer identifiers, account aggregations, lifecycle status classifications (Active, Dormant), and UPI transaction use case counts. The table is constructed through complex joins of user snapshots, account snapshots, and UPI transaction flow data, filtered for specific PSP participants and active/dormant user statuses.

business_description: This table supports UPI business analytics by enabling Monthly Active User (MAU) analysis across different user lifecycle segments. It is primarily used for understanding user engagement patterns, measuring UPI adoption rates, and analyzing user activity distribution across various account profiles. The table helps business teams track user lifecycle transitions, monitor dormant user reactivation, and assess the breadth of UPI use cases per customer. It supports strategic decision-making around user retention, product development, and market penetration analysis in the UPI payments ecosystem.",Daily,UPI,dt,"This appears to be a derived table created through CTEs rather than a physical table. The complex query structure suggests it's built from multiple source tables for specific MAU analysis purposes. The table includes sophisticated filtering logic for user status and PSP associations. This appears to be a complex derived table or view created through CTEs rather than a standalone base table. The SQL shows incomplete query structure, suggesting this is part of a larger analytical framework. The table involves multiple data sources and complex business logic for user lifecycle classification.","This derived users table is built from relationships with hive.tpap_pms.account_snapshot_v3 (for account information), hive.tpap_pms.user_snapshot_v3 (for user profiles), and user_paytm_payments.upi_flow_wise_base_cm (for transaction use cases). It joins on user_id and customer_id fields to create comprehensive user profiles. The table is typically used in conjunction with transaction tables for MAU calculations and user lifecycle analysis, supporting dashboard queries that aggregate user counts by various dimensions like handles and lifecycle status. This table has strong relationships with core UPI infrastructure tables including hive.tpap_pms.user_snapshot_v3 (for user profile data), hive.tpap_pms.account_snapshot_v3 (for account information), and user_paytm_payments.upi_flow_wise_base_cm (for transaction flow data). It typically joins on customer_id and user_id fields, and is commonly used alongside transaction tables for comprehensive UPI user behavior analysis. The table serves as a foundation for user segmentation and lifecycle analysis in UPI dashboards and reports."
hive.user_paytm_payments.upi_flow_wise_base_cm,"data_description: This table contains UPI (Unified Payments Interface) transaction flow data specifically for the current month period. It stores transactional records with customer IDs (payer_cust_id), transaction dates (day_id), and categorized flow types (final_category). The table appears to be a current month variant of a larger partitioned dataset, focusing on recent UPI transaction activities. Key data elements include customer identifiers, daily transaction dates, and business-defined flow categories that exclude 'Others' classifications for analytical purposes.

business_description: The table supports Monthly Active User (MAU) analysis and customer lifecycle tracking within the UPI payments ecosystem. It enables business teams to monitor user engagement patterns, analyze transaction use cases, and track customer behavior across different payment flows. The table is primarily used for generating MAU distribution reports by profile types, supporting business intelligence for UPI product performance, customer segmentation analysis, and month-over-month user activity comparisons. It plays a crucial role in understanding UPI adoption patterns and optimizing payment flow experiences.",Daily,UPI,day_id,"The table appears to be incomplete in the column information provided, but the SQL context reveals it contains UPI transaction flow data. The table is used for calculating MAU metrics and supports lifecycle analysis. The query shows filtering for specific transaction categories excluding 'Others'/'others', indicating data quality considerations. The table name suggests it's a base table for current month (cm) UPI flow analysis. The SQL context shows complex business logic for calculating MAU metrics and customer lifecycle segmentation, indicating this is a critical table for UPI business analytics. This appears to be a current month (CM) specific table that works in conjunction with a partitioned version (upi_flow_wise_base_partitioned). The table excludes 'Others' categories for cleaner analytical insights and supports temporal comparisons between current month (MTD) and last month (LMTD) data.","This table has a direct relationship with user_paytm_payments.upi_flow_wise_base_partitioned and is used in union operations for comprehensive UPI flow analysis. It connects to hive.cdo.fact_upi_customer_lifecycle_snapshot_v3 through customer_id joins for lifecycle analysis. The table is commonly joined on payer_cust_id for customer-centric analysis and filtered by day_id for time-based comparisons. It serves as a complementary dataset to the main partitioned UPI flow table, specifically handling current month data processing requirements. This table is joined with hive.tpap_pms.account_snapshot_v3 and hive.tpap_pms.user_snapshot_v3 for customer and account information. It relates to user lifecycle data through customer_id fields and supports cross-functional analysis with account management systems. The table is commonly used in conjunction with user snapshot tables to create comprehensive customer engagement views and is likely part of a broader UPI analytics framework that includes account status, user demographics, and transaction behavior analysis. This table has strong relationships with user and account management tables through customer_id joins and appears to be part of a broader UPI analytics ecosystem where transaction flows are analyzed alongside user demographics and account status information for comprehensive customer insights."
hive.tpap_pms.user_snapshot_v3,"data_description: This table contains comprehensive user profile snapshots for UPI services, storing user-level information including customer identifiers, PSP (Payment Service Provider) associations, user status, account types, and profile metadata. The table appears to be a versioned snapshot (v3) that captures user states at specific points in time, with fields for tracking user lifecycle stages (ACTIVE, DORMANT), user types (PERSON), and various identification keys. It includes temporal tracking through dl_last_updated fields and supports historical user state analysis.

business_description: This table serves as the primary source for UPI user analytics and Monthly Active User (MAU) calculations across different user lifecycle segments. It supports business intelligence dashboards that track user engagement patterns, dormancy analysis, and PSP-wise user distribution. The table enables product teams to monitor user retention, identify dormant users for reactivation campaigns, and analyze user behavior across different payment service providers. It's critical for calculating key metrics like MAU distribution by user profiles and lifecycle stages, supporting strategic decisions around user engagement and platform growth.",Daily,UPI,dl_last_updated,"This is a versioned table (v3) indicating it has undergone multiple schema iterations. The table supports complex user lifecycle analysis and is specifically filtered for PSP IDs 6,7,8,9 in the usage context, suggesting focus on specific payment service providers. The status filtering logic includes special handling for DORMANT users with comments, indicating nuanced business rules for user classification. The version suffix ""v3"" indicates this is an evolved schema with status-based filtering and type categorization capabilities. Additional implementation details include specific PSP ID filtering (6, 7, 8, 9) and logic for handling dormant users with comments.","This table serves as the central hub for UPI user analytics with strong relationships to account_snapshot_v3 (joined on user_id to id) and connects to payment transaction tables through customer_id for comprehensive user analysis. It is commonly used with transaction tables like upi_flow_wise_base_cm for calculating user activity metrics and MAU calculations. The table serves as the primary user dimension table in UPI analytics, typically joined with account tables to get complete user-account relationships, and with transaction tables to derive usage patterns across different business dimensions. It is central to user segmentation and lifecycle analysis workflows and is frequently used in conjunction with time-series payment data to calculate MAU metrics and user engagement patterns. The table acts as a foundational element for user-related analytics across multiple business contexts and payment flow analysis."
out,"data_description: The 'out' table contains aggregated UPI (Unified Payments Interface) transaction metrics organized by multiple dimensions including day, state, customer profile, and transaction flow categories. The table structure includes temporal data (day_id), geographical data (state), transaction categorization (p2m_p2p_flag for Peer-to-Peer vs Peer-to-Merchant, flow_category for detailed transaction types), and key business metrics (DAU for Daily Active Users, transaction counts, and transaction amounts). This appears to be a summary/aggregated table derived from detailed UPI transaction data combined with user engagement information.

business_description: This table supports UPI business analytics and monitoring by providing state-wise and flow-wise distribution of user activity and transaction volumes. It enables analysis of Monthly Active Users (MAU) distribution across different UPI profiles, helps identify geographical patterns in UPI adoption and usage, supports business intelligence reporting on P2P vs P2M transaction trends, and facilitates performance monitoring of UPI services across different states and transaction categories. The table is primarily used for executive dashboards, regional business analysis, and strategic decision-making related to UPI product development and market expansion.",Daily,UPI,day_id,"This appears to be a derived/output table created from complex ETL processes. The table name 'out' suggests it's likely a temporary or intermediate result table. Column details are not provided, but the SQL context indicates it contains aggregated metrics for UPI analytics.; This appears to be a derived/output table created through complex ETL processing. The table name 'out' suggests it's a temporary or intermediate result table. The SQL query shows incomplete structure, indicating potential data pipeline dependencies. The table is likely regenerated as part of a daily reporting process given the monthly active user calculations and current date references.; The table name ""out"" suggests this is likely a derived table, CTE, or temporary result set rather than a permanent physical table. The SQL context shows complex aggregations and joins from multiple source tables, indicating this is probably an analytical output table created for dashboard consumption. The incomplete column information suggests this might be a dynamically generated result set.; This appears to be a derived/output table from complex analytical queries rather than a source table. The empty table_columns field suggests this might be a temporary or intermediate result table. The SQL context shows sophisticated data processing involving multiple source tables and complex business logic for user segmentation and metric calculation.; This appears to be a derived/aggregated table created from a complex SQL query rather than a base table. The table name ""out"" suggests it might be a temporary output or view. The query involves multiple data sources and complex transformations including user lifecycle classification and geographical segmentation.; The table name 'out' suggests this is a temporary or derived output table from a larger analytical process. The minimal column structure (only customer_id and accounts count) indicates it serves as an intermediate aggregation step for more complex MAU calculations. The underlying queries show dependencies on account_snapshot_v3 and user_snapshot_v3 tables with specific PSP filtering.; This appears to be a derived/output table created from complex aggregations. The table name ""out"" suggests it's likely a temporary or intermediate result table. The SQL context shows filtering for specific Paytm UPI handles (paytm, ptyes, ptaxis, pthdfc, ptsbi) and successful transaction statuses, indicating this is focused on Paytm's UPI ecosystem performance.","This table is derived from multiple source tables including hive.cdo.fact_upi_transactions_snapshot_v3 (main UPI transaction facts) and hive.midgar.engage_data_snapshot_v3 (user engagement and profile data). The table serves as an aggregated layer that joins transaction data with user geographical information (popular_city, popular_state). It's commonly used in conjunction with other UPI analytics tables for comprehensive business reporting and is likely consumed by BI tools and dashboards for executive reporting on UPI performance metrics across different dimensions.; This table is derived from multiple upstream tables including hive.midgar.engage_data_snapshot_v3 (user engagement data), hive.cdo.fact_upi_transactions_snapshot_v3 (UPI transaction facts), and user lifecycle tables. It serves as an intermediate aggregation layer that combines user behavior, transaction data, and geographical information. The table is likely consumed by dashboard visualization tools and may feed into further analytical processes for UPI business intelligence and reporting.; This table is derived from multiple upstream tables including hive.midgar.engage_data_snapshot_v3 (for user profile data), hive.cdo.fact_upi_transactions_snapshot_v3 (for transaction data), and hive.user_paytm_payments.paytm_upi_mau_final (for user lifecycle data). It serves as an aggregated view that combines user engagement metrics with transaction data, commonly joined with other analytical tables for dashboard reporting and business intelligence purposes. The table is likely used in conjunction with other UPI analytics tables for comprehensive payment platform performance analysis.; This table is derived from joins between hive.tpap_pms.account_snapshot_v3 and hive.tpap_pms.user_snapshot_v3, filtering for specific PSP IDs (6, 7, 8, 9). It's commonly joined with use case tables (user_paytm_payments.upi_flow_wise_base_cm) to calculate MAU metrics. The table serves as an intermediate aggregation layer, typically used in combination with transaction data to analyze user lifecycle stages (active, dormant) and engagement patterns across different account profiles.; This table is derived from multiple source tables including hive.tpap_pms.account_snapshot_v3 (user account information), hive.tpap_pms.user_snapshot_v3 (user profile data), and user_paytm_payments.upi_flow_wise_base_cm (UPI transaction flows). It serves as an aggregated output table that consolidates user lifecycle information with transaction activity patterns. The table is typically joined with lifecycle and handle dimensions for reporting purposes and acts as a data mart for UPI user analytics dashboards.; This table is derived from multiple upstream tables including hive.midgar.engage_data_snapshot_v3 (for user demographics and location data), hive.cdo.fact_upi_transactions_snapshot_v3 (for transaction data), and hive.user_paytm_payments.paytm_upi_mau_final_nrr (for user lifecycle classification). It serves as a data mart table that consolidates information from these sources to provide a unified view for UPI analytics dashboards. The table is likely consumed by BI tools and reporting systems for state-wise UPI performance analysis.; This table is derived from multiple source tables including hive.midgar.engage_data_snapshot_v3 (for customer engagement data and geographical information) and hive.cdo.fact_upi_transactions_snapshot_v3 (for UPI transaction facts). It serves as an aggregated output feeding into UPI analytics dashboards. The table relationships include joins on customer_id fields and likely connects to other UPI-related tables for comprehensive payment flow analysis. It acts as an intermediate layer between raw transaction data and business intelligence reporting, specifically designed for P2P vs P2M comparative analysis."
hive.user_paytm_payments.upi_flow_wise_base_partitioned,"data_description: This table contains UPI transaction flow data partitioned by day, storing information about payer customer IDs and their associated transaction categories. The table tracks UPI payment flows with categorization into different use cases (final_category field), excluding generic 'Others' categories. It appears to be a fact table that captures daily UPI transaction activities with customer identification and transaction classification. The table supports time-based analysis with day_id as a key temporal dimension.

business_description: This table is used for UPI business intelligence and customer analytics, specifically for measuring Monthly Active Users (MAU) across different UPI use cases and customer lifecycle stages. It supports MAU distribution analysis by enabling comparisons between current month-to-date (MTD) and last month-to-date (LMTD) metrics. The table is crucial for understanding UPI adoption patterns, customer engagement across different payment use cases, and lifecycle-based segmentation for business strategy and product decisions.",Daily,UPI,day_id,"The table is explicitly named as ""partitioned"" and is used alongside a non-partitioned version (upi_flow_wise_base) and a current month version (upi_flow_wise_base_cm). The SQL context shows complex date filtering logic for MTD/LMTD comparisons, indicating this is a core analytics table for UPI performance measurement.",This table has a strong relationship with hive.cdo.fact_upi_customer_lifecycle_snapshot_v3 through customer_id/payer_cust_id joins for lifecycle analysis. It's also related to other variants like user_paytm_payments.upi_flow_wise_base (non-partitioned) and user_paytm_payments.upi_flow_wise_base_cm (current month). The table is commonly used in UNION operations with these related tables for comprehensive UPI flow analysis across different time periods and supports customer segmentation when joined with lifecycle data.
