table_name,column_name,variable_type,column_description,required_flag
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,MTD_flag,,"A categorical flag that indicates whether a record belongs to the current month-to-date (MTD) or last month-to-date (LMTD) period, used for comparing monthly active user metrics across time periods in lifecycle analysis.",no
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,category,,"Categorizes the type of UPI transaction or customer interaction, with common values including 'VPA2MERCHANT', 'VPA2VPA', and 'VPA2ACCOUNT', used for segmenting and analyzing customer retention patterns across different transaction types.",no
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,customer_id,bigint,"Unique identifier for customers in the UPI payment system, used to track customer retention and lifecycle metrics across different time periods. This bigint field serves as the primary key for analyzing customer behavior patterns and calculating retention rates in UPI transaction dashboards.",yes
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,day_id,,"A date identifier column that stores the transaction or activity date, used for time-based filtering and monthly active user (MAU) calculations to support month-over-month and last-month-to-date comparisons in UPI customer lifecycle analysis.",yes
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,final_category,,"Categorizes UPI transactions by their business use case or purpose, excluding generic 'Others' classifications. This field is used to analyze Monthly Active User (MAU) distribution across different transaction types in customer lifecycle reporting.",no
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,ft_date,date,"The fact table date that represents when the UPI customer lifecycle snapshot was recorded, used for time-based filtering and analysis to track monthly active users (MAU) and compare current month-to-date versus last month-to-date performance metrics.",yes
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,id,,"Unique identifier for customers in the UPI customer lifecycle tracking system, used to measure user retention and engagement metrics across different time periods and TPU (Transactions Per User) segments.",yes
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,lifecycle,varchar,"Represents the customer lifecycle stage in UPI usage patterns, categorizing users into different retention states such as fresh users and retained users for month-over-month retention analysis and TPU (Transactions Per User) bucketing.",no
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,payer_cust_id,,"Unique identifier for customers who initiate UPI payments, used primarily for calculating Monthly Active Users (MAU) and analyzing user engagement across different payment use cases and time periods.",yes
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,use_case,,"The `use_case` column tracks user engagement activity within the current month-to-date period, used to identify Monthly Active Users (MAU) by filtering for values greater than 0. This metric helps analyze user activity patterns across different customer lifecycle stages and account types in the UPI ecosystem.",no
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,users,,"A count of UPI customers used in retention analysis to measure user engagement across different lifecycle stages and time periods. This column serves as both base user count and retained user count depending on the analytical context, supporting retention rate calculations for UPI payment transaction users.",no
hive.default.virtual_table,Mau,,Monthly Active Users (MAU) metric used in UPI retention analysis to track user engagement across different lifecycle stages and calculate month-over-month retention rates by comparing base users from previous periods with retained users in current periods.,no
hive.user_paytm_payments.upi_flow_wise_base,customer_id,,"Unique identifier for customers in the UPI payment flow system, used as the primary key to track distinct users and calculate metrics like Monthly Active Users (MAU) across different account types and lifecycles.",yes
hive.user_paytm_payments.upi_flow_wise_base,day_id,date,"A date column that represents the specific day for UPI payment flow analysis, used as a temporal dimension to enable daily-level tracking and monthly active user calculations in the payments analytics dashboard.",yes
hive.user_paytm_payments.upi_flow_wise_base,final_category,varchar(6),"A categorical field that classifies UPI transactions into specific use cases or transaction types, used for analyzing Monthly Active Users (MAU) distribution across different payment scenarios and excludes generic 'Others' categories.",no
